Year,Quarter,UK_Average_House_Price
2011,Q1,154000
2011,Q2,155000
2011,Q3,156000
2011,Q4,154000
2012,Q1,153000
2012,Q2,155000
2012,Q3,157000
2012,Q4,156000
2013,Q1,154000
2013,Q2,157000
2013,Q3,161000
2013,Q4,162000
2014,Q1,164000
2014,Q2,169000
2014,Q3,175000
2014,Q4,177000
2015,Q1,176000
2015,Q2,178000
2015,Q3,184000
2015,Q4,187000
2016,Q1,189000
2016,Q2,192000
2016,Q3,198000
2016,Q4,197000
2017,Q1,198000
2017,Q2,201000
2017,Q3,207000
2017,Q4,207000
2018,Q1,207000
2018,Q2,208000
2018,Q3,213000
2018,Q4,213000
2019,Q1,210000
2019,Q2,211000
2019,Q3,214000
2019,Q4,215000
2020,Q1,214000
2020,Q2,212000
2020,Q3,218000
2020,Q4,224000
2021,Q1,228000
2021,Q2,229000
2021,Q3,231000
2021,Q4,239000
2022,Q1,248000
2022,Q2,252000
2022,Q3,263000
2022,Q4,266000
2023,Q1,261000
2023,Q2,256000
2023,Q4,260000
2024,Q1,256000
2024,Q2,256000
2024,Q3,262000
2024,Q4,265000
2025,Q1,265000
2025,Q2,262000
2025,Q4,270000
