Year,Price_STD,Transaction_Count
1995,58852.251211215334,796777
1996,63882.54506089276,964695
1997,74526.54803387476,1093669
1998,93554.2147454491,1049739
1999,103279.04765136159,1194064
2000,116106.76494283568,1128742
2001,122622.7655347287,1245112
2002,128930.64228575272,1351256
2003,131795.40719348183,1257140
2004,142148.7629608353,1270409
2005,152504.36549581756,1061686
2006,169479.14445447666,1326161
2007,195807.6751510437,1272921
2008,217385.71859154286,650492
2009,202213.04180384093,625662
2010,243410.27296130022,663342
2011,253663.11439380227,661055
2012,293720.7113154885,668295
2013,629674.9246062124,810111
2014,790950.4356249447,982943
2015,878869.5650899671,1007421
2016,843427.8999126805,1032558
2017,1037674.2868873075,375098
